database_uid,db_id,scenario,scenario_zh,task_id,question,schema_ref,task_ref
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000011,What is the id of the trip that has the shortest duration?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000012,What is the id of the shortest trip?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000013,What is the total and maximum duration of trips with bike id 636?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000014,What is the total and maximum duration for all trips with the bike id 636?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000015,"For each zip code, return the average mean temperature of August there.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000016,"For each zip code, what is the average mean temperature for all dates that start with '8'?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000017,"From the trip record, find the number of unique bikes.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000018,How many different bike ids are there?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000019,What is the number of distinct cities the stations are located at?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000020,How many different cities have these stations?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000021,How many stations does Mountain View city has?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000022,How many stations are in Mountain View?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000023,Return the unique name for stations that have ever had 7 bikes available.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000024,What are the different names for each station that has ever had 7 bikes available?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000025,Which start station had the most trips starting from August? Give me the name and id of the station.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000026,What are the start station's name and id for the one that had the most start trips in August?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000027,Which bike traveled the most often in zip code 94002?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000028,What is the id of the bike that traveled the most in 94002?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000029,How many days had both mean humidity above 50 and mean visibility above 8?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000030,What is the number of days that had an average humity above 50 and an average visibility above 8?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000031,"What is the latitude, longitude, city of the station from which the shortest trip started?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000032,"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000033,What are the ids of stations that are located in San Francisco and have average bike availability above 10.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000034,What are the ids of the stations in San Francisco that normally have more than 10 bikes available?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000035,What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000036,What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000037,What is the 3 most common cloud cover rates in the region of zip code 94107?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000038,What are the 3 most common cloud covers in the zip code of 94107?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000039,What is the zip code in which the average mean sea level pressure is the lowest?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000040,What is the zip code that has the lowest average mean sea level pressure?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000041,What is the average bike availability in stations that are not located in Palo Alto?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000042,What is the average bike availablility for stations not in Palo Alto?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000043,What is the average longitude of stations that never had bike availability more than 10?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000044,What is the mean longitude for all stations that have never had more than 10 bikes available?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000045,When and in what zip code did max temperature reach 80?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000046,What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000047,Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000048,"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000049,"For each zip code, return how many times max wind speed reached 25?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000050,"For each zip code, how many times has the maximum wind speed reached 25 mph?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000051,On which day and in which zip code was the min dew point lower than any day in zip code 94107?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000052,"Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000053,"For each trip, return its ending station's installation date.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000054,What is the installation date for each ending station on all the trips?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000055,Which trip started from the station with the largest dock count? Give me the trip id.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000056,What is the id of the trip that started from the station with the highest dock count?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000057,Count the number of trips that did not end in San Francisco city.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000058,How many trips did not end in San Francisco?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000059,"In zip code 94107, on which day neither Fog nor Rain was not observed?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000060,On which day has it neither been foggy nor rained in the zip code of 94107?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000061,What are the ids of stations that have latitude above 37.4 and never had bike availability below 7?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000062,What are the ids of all stations that have a latitude above 37.4 and have never had less than 7 bikes available?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000063,What are names of stations that have average bike availability above 10 and are not located in San Jose city?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000064,What are the names of all stations that have more than 10 bikes available and are not located in San Jose?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000065,"What are the name, latitude, and city of the station with the lowest latitude?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000066,"What is the name, latitude, and city of the station that is located the furthest South?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000067,"What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000068,"What is the date, average temperature and mean humidity for the days with the 3 largest maximum gust speeds?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000069,List the name and the number of stations for all the cities that have at least 15 stations.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000070,What is the name of every city that has at least 15 stations and how many stations does it have?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000071,Find the ids and names of stations from which at least 200 trips started.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000072,What are the ids and names of all start stations that were the beginning of at least 200 trips?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000073,Find the zip code in which the average mean visibility is lower than 10.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000074,"For each zip code, select all those that have an average mean visiblity below 10.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000075,List all the cities in a decreasing order of each city's stations' highest latitude.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000076,"For each city, list their names in decreasing order by their highest station latitude.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000077,What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000078,What are the dates that have the 5 highest cloud cover rates and what are the rates?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000079,What are the ids and durations of the trips with the top 3 durations?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000080,What are the ids of the trips that lasted the longest and how long did they last?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000081,"For each station, return its longitude and the average duration of trips that started from the station.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000082,"For each start station id, what is its name, longitude and average duration of trips started there?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000083,"For each station, find its latitude and the minimum duration of trips that ended at the station.",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000084,"For each end station id, what is its name, latitude, and minimum duration for trips ended there?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000085,List all the distinct stations from which a trip of duration below 100 started.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000086,What are all the different start station names for a trip that lasted less than 100?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000087,Find all the zip codes in which the max dew point have never reached 70.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000088,What are all the different zip codes that have a maximum dew point that was always below 70?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000089,Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000090,What are the ids of all trips that had a duration as long as the average trip duration in the zip code 94103?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000091,What are the dates in which the mean sea level pressure was between 30.3 and 31?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000092,What are the dates that have an average sea level pressure between 30.3 and 31?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000093,Find the day in which the difference between the max temperature and min temperature was the smallest. Also report the difference.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000094,"What are the days that had the smallest temperature range, and what was that range?",schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000095,What are the id and name of the stations that have ever had more than 12 bikes available?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000096,What are the different ids and names of the stations that have had more than 12 bikes available?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000097,Give me the zip code where the average mean humidity is below 70 and at least 100 trips took place.,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000098,What are the zip codes that have an average mean humidity below 70 and had at least 100 trips come through there?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000099,What are the names of stations that are located in Palo Alto city but have never been the ending point of trips more than 100 times?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000100,What are the names of the stations that are located in Palo Alto but have never been the ending point of the trips,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000101,How many trips started from Mountain View city and ended at Palo Alto city?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000102,How many trips stated from  a station in Mountain View and ended at one in Palo Alto?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000103,What is the average latitude and longitude of the starting points of all trips?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__bike_1,bike_1,bike_micromobility,共享单车,task_000104,What is the average latitude and longitude of all starting stations for the trips?,schemas/by_database/spider_data__bike_1.json,tasks/by_database/spider_data__bike_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000105,How many aircrafts do we have?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000106,How many aircrafts exist in the database?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000107,Show name and distance for all aircrafts.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000108,What are the names and distances for all airplanes?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000109,Show ids for all aircrafts with more than 1000 distance.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000110,What are the ids of all aircrafts that can cover a distance of more than 1000?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000111,How many aircrafts have distance between 1000 and 5000?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000112,What is the count of aircrafts that have a distance between 1000 and 5000?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000113,What is the name and distance for aircraft with id 12?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000114,What is the name and distance for the aircraft that has an id of 12?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000115,"What is the minimum, average, and maximum distance of all aircrafts.",schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000116,"Return the minimum, average and maximum distances traveled across all aircrafts.",schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000117,Show the id and name of the aircraft with the maximum distance.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000118,What is the id and name of the aircraft that can cover the maximum distance?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000119,Show the name of aircrafts with top three lowest distances.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000120,What are the aircrafts with top 3 shortest lengthes? List their names.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000121,Show names for all aircrafts with distances more than the average.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000122,What are the names of all aircrafts that can cover more distances than average?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000123,How many employees do we have?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000124,What is the number of employees?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000125,Show name and salary for all employees sorted by salary.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000126,What is the name and salary of all employees in order of salary?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000127,Show ids for all employees with at least 100000 salary.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000128,What is the id of every employee who has at least a salary of  100000?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000129,How many employees have salary between 100000 and 200000?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000130,What is the number of employees that have a salary between 100000 and 200000?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000131,What is the name and salary for employee with id 242518965?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000132,What is the name and salary of the employee with the id 242518965?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000133,What is average and maximum salary of all employees.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000134,What is the average and largest salary of all employees?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000135,Show the id and name of the employee with maximum salary.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000136,What is the id and name of the employee with the highest salary?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000137,Show the name of employees with three lowest salaries.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000138,What is the name of the 3 employees who get paid the least?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000139,Show names for all employees with salary more than the average.,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
spider_data__flight_1,flight_1,aviation_airport,机场航空,task_000140,What are the names of all employees who have a salary higher than average?,schemas/by_database/spider_data__flight_1.json,tasks/by_database/spider_data__flight_1.jsonl
