database_uid,source,db_id,scenario,scenario_zh,scenario_en,task_count,table_count,column_count,primary_key_column_count,foreign_key_count,total_rows,sqlite_file,sqlite_source_path,sqlite_size_bytes,sqlite_size_mb,schema_ref,schema_markdown_ref,tasks_ref,knowledge_ref,full_rows_task_count,verification_only_task_count
spider_data__flight_company,spider_data,flight_company,aviation_airport,机场航空,Airport and aviation,19,3,20,3,2,36,flight_company.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__flight_company/flight_company.sqlite,28672,0.027,schemas/by_database/spider_data__flight_company.json,schemas/by_database/spider_data__flight_company.md,tasks/by_database/spider_data__flight_company.jsonl,knowledge/by_database/spider_data__flight_company_knowledge_database.md,19,0
spider_data__formula_1,spider_data,formula_1,racing_competition,赛车竞赛,Racing competition,80,13,94,17,17,88380,formula_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__formula_1/formula_1.sqlite,2940928,2.805,schemas/by_database/spider_data__formula_1.json,schemas/by_database/spider_data__formula_1.md,tasks/by_database/spider_data__formula_1.jsonl,knowledge/by_database/spider_data__formula_1_knowledge_database.md,80,0
spider_data__pilot_1,spider_data,pilot_1,aviation_airport,机场航空,Airport and aviation,82,2,5,3,1,17,pilot_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__pilot_1/pilot_1.sqlite,20480,0.02,schemas/by_database/spider_data__pilot_1.json,schemas/by_database/spider_data__pilot_1.md,tasks/by_database/spider_data__pilot_1.jsonl,knowledge/by_database/spider_data__pilot_1_knowledge_database.md,82,0
spider_data__pilot_record,spider_data,pilot_record,aviation_airport,机场航空,Airport and aviation,15,3,19,5,2,18,pilot_record.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__pilot_record/pilot_record.sqlite,28672,0.027,schemas/by_database/spider_data__pilot_record.json,schemas/by_database/spider_data__pilot_record.md,tasks/by_database/spider_data__pilot_record.jsonl,knowledge/by_database/spider_data__pilot_record_knowledge_database.md,15,0
spider_data__race_track,spider_data,race_track,racing_competition,赛车竞赛,Racing competition,42,2,10,2,1,16,race_track.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__race_track/race_track.sqlite,20480,0.02,schemas/by_database/spider_data__race_track.json,schemas/by_database/spider_data__race_track.md,tasks/by_database/spider_data__race_track.jsonl,knowledge/by_database/spider_data__race_track_knowledge_database.md,42,0
spider_data__railway,spider_data,railway,rail_train_station,铁路交通,Rail transport,21,4,22,5,3,30,railway.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__railway/railway.sqlite,36864,0.035,schemas/by_database/spider_data__railway.json,schemas/by_database/spider_data__railway.md,tasks/by_database/spider_data__railway.jsonl,knowledge/by_database/spider_data__railway_knowledge_database.md,21,0
spider_data__school_bus,spider_data,school_bus,public_service_transport,公共服务,Public service transport,18,3,14,4,2,24,school_bus.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__school_bus/school_bus.sqlite,28672,0.027,schemas/by_database/spider_data__school_bus.json,schemas/by_database/spider_data__school_bus.md,tasks/by_database/spider_data__school_bus.jsonl,knowledge/by_database/spider_data__school_bus_knowledge_database.md,18,0
spider_data__ship_1,spider_data,ship_1,maritime_shipping_logistics,船运物流,Maritime shipping and logistics,48,2,12,2,1,16,ship_1.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__ship_1/ship_1.sqlite,20480,0.02,schemas/by_database/spider_data__ship_1.json,schemas/by_database/spider_data__ship_1.md,tasks/by_database/spider_data__ship_1.jsonl,knowledge/by_database/spider_data__ship_1_knowledge_database.md,48,0
spider_data__ship_mission,spider_data,ship_mission,maritime_shipping_logistics,船运物流,Maritime shipping and logistics,30,2,12,2,1,15,ship_mission.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__ship_mission/ship_mission.sqlite,20480,0.02,schemas/by_database/spider_data__ship_mission.json,schemas/by_database/spider_data__ship_mission.md,tasks/by_database/spider_data__ship_mission.jsonl,knowledge/by_database/spider_data__ship_mission_knowledge_database.md,30,0
spider_data__train_station,spider_data,train_station,rail_train_station,铁路交通,Rail transport,23,3,14,4,2,34,train_station.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__train_station/train_station.sqlite,28672,0.027,schemas/by_database/spider_data__train_station.json,schemas/by_database/spider_data__train_station.md,tasks/by_database/spider_data__train_station.jsonl,knowledge/by_database/spider_data__train_station_knowledge_database.md,23,0
spider_data__vehicle_driver,spider_data,vehicle_driver,road_vehicle_business,道路车辆,Road vehicles,42,3,13,4,2,23,vehicle_driver.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__vehicle_driver/vehicle_driver.sqlite,28672,0.027,schemas/by_database/spider_data__vehicle_driver.json,schemas/by_database/spider_data__vehicle_driver.md,tasks/by_database/spider_data__vehicle_driver.jsonl,knowledge/by_database/spider_data__vehicle_driver_knowledge_database.md,42,0
spider_data__vehicle_rent,spider_data,vehicle_rent,road_vehicle_business,道路车辆,Road vehicles,44,4,22,4,3,24,vehicle_rent.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__vehicle_rent/vehicle_rent.sqlite,36864,0.035,schemas/by_database/spider_data__vehicle_rent.json,schemas/by_database/spider_data__vehicle_rent.md,tasks/by_database/spider_data__vehicle_rent.jsonl,knowledge/by_database/spider_data__vehicle_rent_knowledge_database.md,44,0
train__airline,train,airline,aviation_airport,机场航空,Airport and aviation,92,3,32,2,3,709518,airline.sqlite,Data/normalized_text2sql_tasks/database_layer/train__airline/airline.sqlite,122699776,117.016,schemas/by_database/train__airline.json,schemas/by_database/train__airline.md,tasks/by_database/train__airline.jsonl,knowledge/by_database/train__airline_knowledge_database.md,89,3
train__bike_share_1,train,bike_share_1,bike_micromobility,共享单车,Bike sharing,113,4,46,2,0,72647070,bike_share_1.sqlite,Data/normalized_text2sql_tasks/database_layer/train__bike_share_1/bike_share_1.sqlite,5209406464,4968.077,schemas/by_database/train__bike_share_1.json,schemas/by_database/train__bike_share_1.md,tasks/by_database/train__bike_share_1.jsonl,knowledge/by_database/train__bike_share_1_knowledge_database.md,102,11
train__car_retails,train,car_retails,road_vehicle_business,道路车辆,Road vehicles,126,8,59,10,8,3864,car_retails.sqlite,Data/normalized_text2sql_tasks/database_layer/train__car_retails/car_retails.sqlite,487424,0.465,schemas/by_database/train__car_retails.json,schemas/by_database/train__car_retails.md,tasks/by_database/train__car_retails.jsonl,knowledge/by_database/train__car_retails_knowledge_database.md,126,0
train__cars,train,cars,road_vehicle_business,道路车辆,Road vehicles,84,4,16,5,4,1491,cars.sqlite,Data/normalized_text2sql_tasks/database_layer/train__cars/cars.sqlite,135168,0.129,schemas/by_database/train__cars.json,schemas/by_database/train__cars.md,tasks/by_database/train__cars.jsonl,knowledge/by_database/train__cars_knowledge_database.md,84,0
train__shipping,train,shipping,maritime_shipping_logistics,船运物流,Maritime shipping and logistics,106,5,32,5,4,1684,shipping.sqlite,Data/normalized_text2sql_tasks/database_layer/train__shipping/shipping.sqlite,131072,0.125,schemas/by_database/train__shipping.json,schemas/by_database/train__shipping.md,tasks/by_database/train__shipping.jsonl,knowledge/by_database/train__shipping_knowledge_database.md,106,0
train__trains,train,trains,rail_train_station,铁路交通,Rail transport,40,2,12,2,1,83,trains.sqlite,Data/normalized_text2sql_tasks/database_layer/train__trains/trains.sqlite,5070848,4.836,schemas/by_database/train__trains.json,schemas/by_database/train__trains.md,tasks/by_database/train__trains.jsonl,knowledge/by_database/train__trains_knowledge_database.md,40,0
