task_id,source,split,db_id,database_uid,scenario,scenario_zh,question,gold_sql,evidence,original_sample_index,original_source_path,schema_ref,schema_markdown_ref,knowledge_ref,execution_status,result_mode,result_columns,result_row_count,verification_sql,verification_result_row_count,is_corrected,correction_category,correction_type,correction_reason,original_question,original_gold_sql
task_000013,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the total and maximum duration of trips with bike id 636?,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",,12,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""sum(duration)"", ""max(duration)""]",1,,,False,,,,,
task_000014,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the total and maximum duration for all trips with the bike id 636?,"SELECT sum(duration) ,  max(duration) FROM trip WHERE bike_id  =  636",,13,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""sum(duration)"", ""max(duration)""]",1,,,False,,,,,
task_000015,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"For each zip code, return the average mean temperature of August there.","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code",,14,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""zip_code"", ""avg(mean_temperature_f)""]",5,,,False,,,,,
task_000016,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"For each zip code, what is the average mean temperature for all dates that start with '8'?","SELECT zip_code  ,  avg(mean_temperature_f) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code",,15,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""zip_code"", ""avg(mean_temperature_f)""]",5,,,False,,,,,
task_000017,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"From the trip record, find the number of unique bikes.",SELECT count(DISTINCT bike_id) FROM trip,,16,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""count(DISTINCT bike_id)""]",1,,,False,,,,,
task_000018,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,How many different bike ids are there?,SELECT count(DISTINCT bike_id) FROM trip,,17,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""count(DISTINCT bike_id)""]",1,,,False,,,,,
task_000019,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the number of distinct cities the stations are located at?,SELECT count(DISTINCT city) FROM station,,18,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""count(DISTINCT city)""]",1,,,False,,,,,
task_000020,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,How many different cities have these stations?,SELECT count(DISTINCT city) FROM station,,19,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""count(DISTINCT city)""]",1,,,False,,,,,
task_000021,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,How many stations does Mountain View city has?,"SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",,20,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""COUNT(*)""]",1,,,False,,,,,
task_000022,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,How many stations are in Mountain View?,"SELECT COUNT(*) FROM station WHERE city  =  ""Mountain View""",,21,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""COUNT(*)""]",1,,,False,,,,,
task_000023,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,Return the unique name for stations that have ever had 7 bikes available.,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,,22,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""name""]",18,,,False,,,,,
task_000024,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What are the different names for each station that has ever had 7 bikes available?,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id WHERE T2.bikes_available  =  7,,23,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""name""]",18,,,False,,,,,
task_000025,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,Which start station had the most trips starting from August? Give me the name and id of the station.,"SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",,24,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""start_station_name"", ""start_station_id""]",1,,,False,,,,,
task_000026,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What are the start station's name and id for the one that had the most start trips in August?,"SELECT start_station_name ,  start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT(*) DESC LIMIT 1",,25,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""start_station_name"", ""start_station_id""]",1,,,False,,,,,
task_000027,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,Which bike traveled the most often in zip code 94002?,SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,,26,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""bike_id""]",1,,,False,,,,,
task_000028,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the id of the bike that traveled the most in 94002?,SELECT bike_id FROM trip WHERE zip_code  =  94002 GROUP BY bike_id ORDER BY COUNT(*) DESC LIMIT 1,,27,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""bike_id""]",1,,,False,,,,,
task_000029,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,How many days had both mean humidity above 50 and mean visibility above 8?,SELECT COUNT(DISTINCT date) FROM weather WHERE mean_humidity > 50 AND mean_visibility_miles > 8,,28,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""COUNT(DISTINCT date)""]",1,,,True,评测标准有问题,sql,题目问 how many days，Gold 用 COUNT(*) 统计 weather 行数，会把同一天不同 zip code 的天气记录重复计数；应统计 DISTINCT date。,How many days had both mean humidity above 50 and mean visibility above 8?,SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8
task_000030,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the number of days that had an average humity above 50 and an average visibility above 8?,SELECT COUNT(*) FROM weather WHERE mean_humidity  >  50 AND mean_visibility_miles  >  8,,29,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""COUNT(*)""]",1,,,False,,,,,
task_000031,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"What is the latitude, longitude, city of the station from which the shortest trip started?","SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1",,30,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""lat"", ""long"", ""city""]",1,,,False,,,,,
task_000032,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"What is the latitude, longitude, and city of the station from which the trip with smallest duration started?","SELECT T1.lat ,  T1.long ,  T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id  =  T2.start_station_id ORDER BY T2.duration LIMIT 1",,31,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""lat"", ""long"", ""city""]",1,,,False,,,,,
task_000033,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What are the ids of stations that are located in San Francisco and have average bike availability above 10.,"SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10",,32,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""id""]",14,,,False,,,,,
task_000034,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What are the ids of the stations in San Francisco that normally have more than 10 bikes available?,"SELECT id FROM station WHERE city  =  ""San Francisco"" INTERSECT SELECT station_id FROM status GROUP BY station_id HAVING avg(bikes_available)  >  10",,33,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""id""]",14,,,False,,,,,
task_000035,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What are the names and ids of stations that had more than 14 bikes available on average or were installed in December?,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",,34,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""name"", ""id""]",5,,,False,,,,,
task_000036,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",,35,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""name"", ""id""]",5,,,False,,,,,
task_000037,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the 3 most common cloud cover rates in the region of zip code 94107?,SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,,36,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""cloud_cover""]",3,,,False,,,,,
task_000038,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What are the 3 most common cloud covers in the zip code of 94107?,SELECT cloud_cover FROM weather WHERE zip_code  =  94107 GROUP BY cloud_cover ORDER BY COUNT (*) DESC LIMIT 3,,37,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""cloud_cover""]",3,,,False,,,,,
task_000039,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the zip code in which the average mean sea level pressure is the lowest?,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,,38,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""zip_code""]",1,,,False,,,,,
task_000040,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the zip code that has the lowest average mean sea level pressure?,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY avg(mean_sea_level_pressure_inches) LIMIT 1,,39,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""zip_code""]",1,,,False,,,,,
task_000041,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the average bike availability in stations that are not located in Palo Alto?,"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")",,40,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""avg(bikes_available)""]",1,,,False,,,,,
task_000042,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the average bike availablility for stations not in Palo Alto?,"SELECT avg(bikes_available) FROM status WHERE station_id NOT IN (SELECT id FROM station WHERE city  =  ""Palo Alto"")",,41,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""avg(bikes_available)""]",1,,,False,,,,,
task_000043,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the average longitude of stations that never had bike availability more than 10?,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),,42,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""avg(long)""]",1,,,False,,,,,
task_000044,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the mean longitude for all stations that have never had more than 10 bikes available?,SELECT avg(long) FROM station WHERE id NOT IN (SELECT station_id FROM status GROUP BY station_id HAVING max(bikes_available)  >  10),,43,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""avg(long)""]",1,,,False,,,,,
task_000045,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,When and in what zip code did max temperature reach 80?,"SELECT date, zip_code FROM weather WHERE max_temperature_f = 80",,44,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""date"", ""zip_code""]",104,,,True,题目歧义 / Gold 口径过宽,sql,题目说 max temperature reach 80，更自然是最高温等于 80；原 Gold 使用 >= 80，把超过 80 的日期也纳入，口径过宽。,When and in what zip code did max temperature reach 80?,"SELECT date ,  zip_code FROM weather WHERE max_temperature_f  >=  80"
task_000046,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What zip codes have a station with a max temperature greater than or equal to 80 and when did it reach that temperature?,"SELECT date ,  zip_code FROM weather WHERE max_temperature_f  >=  80",,45,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""date"", ""zip_code""]",502,,,False,,,,,
task_000047,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.,SELECT id FROM trip WHERE zip_code IN (SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_temperature_f) > 60),,46,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,verification_only,"[""id""]",1323,SELECT COUNT(*) AS result_row_count FROM (SELECT id FROM trip WHERE zip_code IN (SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_temperature_f) > 60)) AS verification_subquery,1323,True,评测标准有问题,sql_large_result,Gold 按 zip_code 分组却 SELECT 非聚合的 trip.id，SQLite 会从每个 zip 分组任取一个 id；题目要求 all the trip ids。,Give me ids for all the trip that took place in a zip code area with average mean temperature above 60.,SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code  =  T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f)  >  60
task_000048,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,Find ids of all trips that took place in zip code areas with average mean temperature above 60.,SELECT id FROM trip WHERE zip_code IN (SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_temperature_f) > 60),,47,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,verification_only,"[""id""]",1323,SELECT COUNT(*) AS result_row_count FROM (SELECT id FROM trip WHERE zip_code IN (SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_temperature_f) > 60)) AS verification_subquery,1323,True,评测标准有问题,question_and_sql_large_result,原题的 for each zip code 表达含糊，原 Gold 与 task_000047 一样按 zip_code 分组却 SELECT 非聚合 trip.id，不能返回所有 trip ids。,"For each zip code, find the ids of all trips that have a higher average mean temperature above 60?",SELECT T1.id FROM trip AS T1 JOIN weather AS T2 ON T1.zip_code  =  T2.zip_code GROUP BY T2.zip_code HAVING avg(T2.mean_temperature_f)  >  60
task_000049,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"For each zip code, return how many times max wind speed reached 25?","SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph  >=  25 GROUP BY zip_code",,48,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""zip_code"", ""count(*)""]",5,,,False,,,,,
task_000050,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"For each zip code, how many times has the maximum wind speed reached 25 mph?","SELECT zip_code , count(*) FROM weather WHERE max_wind_Speed_mph  >=  25 GROUP BY zip_code",,49,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""zip_code"", ""count(*)""]",5,,,False,,,,,
task_000051,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,On which day and in which zip code was the min dew point lower than any day in zip code 94107?,"SELECT date ,  zip_code FROM weather WHERE min_dew_point_f  <  (SELECT min(min_dew_point_f) FROM weather WHERE zip_code  =  94107)",,50,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""date"", ""zip_code""]",3,,,False,,,,,
task_000052,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"Which days had a minimum dew point smaller than any day in zip code 94107, and in which zip codes were those measurements taken?","SELECT date ,  zip_code FROM weather WHERE min_dew_point_f  <  (SELECT min(min_dew_point_f) FROM weather WHERE zip_code  =  94107)",,51,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,full_rows,"[""date"", ""zip_code""]",3,,,False,,,,,
task_000053,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,"For each trip, return its ending station's installation date.","SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id",,52,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,verification_only,"[""id"", ""installation_date""]",9959,"SELECT COUNT(*) AS result_row_count FROM (SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id) AS verification_subquery",9959,False,,,,,
task_000054,spider_data,train,bike_1,spider_data__bike_1,bike_micromobility,共享单车,What is the installation date for each ending station on all the trips?,"SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id",,53,spider_data/train_spider_traffic.json,schemas/by_database/spider_data__bike_1.json,schemas/by_database/spider_data__bike_1.md,knowledge/by_database/spider_data__bike_1_knowledge_database.md,ok,verification_only,"[""id"", ""installation_date""]",9959,"SELECT COUNT(*) AS result_row_count FROM (SELECT T1.id ,  T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id  =  T2.id) AS verification_subquery",9959,False,,,,,
