题号,旧题号,题型,难度,题目,DeepSeek V4 Flash结果,DeepSeek V4 Flash原因,DeepSeek V4 Flash来源,GPT-5.2结果,GPT-5.2原因,GPT-5.2来源,Qwen3.5-Plus结果,Qwen3.5-Plus原因,Qwen3.5-Plus来源
S12,B04,单方式查询,难,早晚高峰六个小时都有记录的公交线路中，晚高峰比早高峰增加最多的10条线路是哪些？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S13,B05,单方式查询,难,每条公交线路今天客流最高的小时是什么？并列峰值全部保留。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S14,B06,单方式查询,中,0至5时有哪些公交线路出现正客流？给出夜间客流和正客流小时数。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S15,B07,单方式查询,中,隧道夜宵线今天每小时的客流是多少？同名线路按线路ID分别展示。,未通过,row_count_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S16,B08,单方式查询,难,哪些公交线路今天有记录的小时少于18个？按有记录小时的平均客流列出前10条，并给出观测小时数、全天客流和小时平均客流。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S17,T01,单方式查询,简,今天各网格的出租车上车量和下车完单量合计分别是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S18,T02,单方式查询,简,今天出租车上车量和下车完单量如何随小时变化？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S19,T03,单方式查询,中,今天出租车上车量最大的10个网格是哪些？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S20,T04,单方式查询,中,今天出租车下车完单量最大的10个网格是哪些？,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored
S21,T05,单方式查询,难,同时有出租车上车和下车完单观测的网格小时中，下车量减上车量最大的10个是哪些？,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored
S22,T06,单方式查询,中,早晚高峰都有出租车下车完单观测的网格中，哪些网格晚高峰高于早高峰？给出两段总量和观测小时数。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S23,T07,单方式查询,中,出租车上车量最高的10个网格合计有多少上车量，占全部网格上车量的百分比是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S24,T08,单方式查询,难,每个小时出租车下车完单量最大的3个网格是哪些？,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored
S25,R02,单方式查询,中,按小时给出网约车下单量、下车完单量及其各自占全天总量的百分比。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S26,R03,单方式查询,中,今天网约车下单量最大的10个网格是哪些？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S27,R04,单方式查询,中,网约车早高峰和晚高峰下单量分别是多少，各占全天下单量的百分比是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S28,R05,单方式查询,中,今天有多少个网格曾在某个小时达到至少100单网约车下单量？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S29,R06,单方式查询,难,哪些网格小时出现网约车下单量大于0、下车完单量等于0？给出符合条件的网格小时总数，并列出下单量最大的10个。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S30,R07,单方式查询,中,全天网约车下单量至少100的网格中，晚高峰下单占比最高的10个是哪些？,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S31,R08,单方式查询,难,网约车下单量相邻小时增量最大的10个网格小时是什么？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S32,R10,单方式查询,难,同时有网约车下单和下车完单观测的网格小时中，下单量减下车量最大的10个是哪些？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S33,K01,单方式查询,简,今天各网格的共享单车锁车量合计是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S34,K02,单方式查询,简,今天共享单车锁车量如何随小时变化？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S35,K03,单方式查询,中,今天共享单车锁车量最高的小时是什么？并列峰值全部保留。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S36,K04,单方式查询,中,今天共享单车锁车量最大的10个网格是哪些？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S37,K05,单方式查询,中,共享单车锁车量最高的10个网格合计有多少锁车量，占全部网格锁车量的百分比是多少？,未通过,execution_error,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S38,K06,单方式查询,难,哪些网格在7、8、9时都有共享单车锁车观测，而且锁车量逐小时增加？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S39,K07,单方式查询,中,共享单车早高峰锁车量是多少，占全天锁车量的百分比是多少？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
S40,K08,单方式查询,难,早晚高峰都有共享单车观测的网格中，晚高峰锁车量高于早高峰且增量最大的10个是哪些？给出两个时段的观测小时数。,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored
X01,C01,多方式联合查询,中,在地铁进站和公交客流都有观测的小时中，给出两项小时值及截至该小时的累计值。,未通过,truncated_result,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X02,C02,多方式联合查询,难,公交客流和网约车下单量各自最高的连续三小时窗口是什么？只使用两项都有观测的连续窗口，并列峰值全部保留。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X03,C03,多方式联合查询,中,五项代表指标分别达到小时峰值时，哪些交通方式对具有共同峰值小时？给出方式对和小时。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X04,C04,多方式联合查询,难,在地铁进站和公交客流都有观测的小时中，分别按小时量使用DENSE_RANK排名，找出名次差最大的全部小时。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X05,C05,多方式联合查询,难,在五项代表指标都有观测的共同小时中，各指标累计量首次达到本指标总量50%的小时是什么？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X06,C06,多方式联合查询,难,在地铁进站和网约车下单都有观测的小时中，哪几个小时的两项小时占比差最大？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X07,C07,多方式联合查询,中,哪些相邻小时中，地铁进站量和公交客流同时增加？给出两项增量。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X08,C08,多方式联合查询,中,哪些相邻小时中，网约车下单量增加而共享单车锁车量减少？给出两项变化量。,未通过,truncated_result,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X09,C09,多方式联合查询,中,按全天是否存在出租车下客、网约车下客和共享单车锁车观测，将网格分为覆盖1、2、3项指标，分别统计网格数。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X10,C10,多方式联合查询,难,8时三项网格指标的覆盖集合两两交集数、并集数和交并比是多少？,未通过,execution_error,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X11,C11,多方式联合查询,中,同时有共享单车锁车和网约车下客观测的网格小时中，锁车量最高的20个是哪些？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X12,C12,多方式联合查询,难,按GeoHash前5位分区，统计出租车下客、网约车下客、共享单车锁车各自覆盖的细网格数，以及三项都覆盖的细网格数。,未通过,row_count_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X13,C13,多方式联合查询,难,哪些网格同时进入出租车下客和网约车下客全天前100名？给出两项量值和名次。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X14,C14,多方式联合查询,难,共享单车锁车量全天前20名中，哪些网格没有进入网约车下客前20名？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X15,C15,多方式联合查询,难,在三项指标都有观测的网格中分别排名，哪些网格在出租车下客、网约车下客和共享单车锁车三项中均进入前200名？,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
X16,C16,多方式联合查询,难,在出租车和网约车都有下客观测的网格中，分别使用DENSE_RANK排名，名次差最大的10个网格是哪些？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent_with_topk_ties,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X17,C17,多方式联合查询,难,哪些网格正好进入出租车下客、网约车下客、共享单车锁车三类全天前100名中的两类？,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
X18,C18,多方式联合查询,难,早高峰和晚高峰中，出租车与网约车下客量各自前20个网格的交集数、并集数和交并比分别是多少？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X19,C19,多方式联合查询,难,对于出租车与网约车都有下客观测的网格，只在共同观测小时内比较峰值。峰值小时有重合和无重合的网格分别有多少？,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
X20,C20,多方式联合查询,难,哪些网格同时进入早高峰共享单车锁车量前200名和晚高峰网约车下客量前200名？,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
X21,C21,多方式联合查询,难,哪些网格在7、8、9时都有网约车下客和共享单车锁车观测，而且两项指标都逐小时增加？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X22,C22,多方式联合查询,难,每个小时分别取出租车下客、网约车下客、共享单车锁车前10名。哪些网格小时至少进入其中两类，并且每小时共有多少个？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
X23,C23,多方式联合查询,难,共同观测不少于6个小时且两项均值为正的网格中，网约车下客和共享单车锁车的峰均比差异最大的10个是哪些？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X24,C24,多方式联合查询,难,按每小时前10个网格占本指标小时总量的比例衡量集中度。哪些小时的网约车下客和共享单车集中度都高于各自小时平均值？,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
X25,,多方式联合查询,简,今天全市地铁进站量和公交客流量分别是多少？公交客流量与地铁进站量之比是多少？,未通过,required_column_values_mismatch,new_api_evaluation,通过,execution_result_equivalent,new_api_evaluation,通过,execution_result_equivalent,new_api_evaluation
X26,,多方式联合查询,简,按小时给出出租车下客量、网约车下客量和共享单车锁车量。,通过,execution_result_equivalent,new_api_evaluation,通过,execution_result_equivalent,new_api_evaluation,通过,execution_result_equivalent,new_api_evaluation
X27,,多方式联合查询,中,早高峰三个小时中，按小时给出地铁进站量、公交客流量，以及两项分别占各自早高峰总量的百分比。,未通过,required_column_values_mismatch,new_api_evaluation,通过,execution_result_equivalent,new_api_evaluation,通过,execution_result_equivalent,new_api_evaluation
X28,,多方式联合查询,中,晚高峰同时有出租车和网约车下客观测的网格中，两项下客量差的绝对值最大的10个网格是哪些？,未通过,required_column_values_mismatch,new_api_evaluation,未通过,required_column_values_mismatch,new_api_evaluation,未通过,required_column_values_mismatch,new_api_evaluation
X29,,多方式联合查询,中,按GeoHash前5位汇总出租车下客量、网约车下客量和共享单车锁车量，列出三项合计最高的10个区域。,通过,execution_result_equivalent_with_topk_ties,new_api_evaluation,通过,execution_result_equivalent_with_topk_ties,new_api_evaluation,通过,execution_result_equivalent_with_topk_ties,new_api_evaluation
X30,,多方式联合查询,中,分别给出地铁进站、公交客流、出租车下客、网约车下客和共享单车锁车的早高峰与晚高峰总量。,通过,execution_result_equivalent,new_api_evaluation,未通过,required_column_values_mismatch,new_api_evaluation,未通过,required_column_values_mismatch,new_api_evaluation
G01,C25,GIS空间关联查询,难,在早高峰地铁出站量和站点500米内共享单车锁车量都有观测的站中，分别使用RANK排名，找出名次差最大的10个站。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G02,C26,GIS空间关联查询,中,站名为“徐家汇”的地铁站0至300米和300至800米两个范围内，出租车下客、网约车下客和共享单车锁车量每小时分别是多少？完整展示24小时。,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G03,C27,GIS空间关联查询,难,地铁出站量与站点500米内共享单车锁车量共同观测不少于6个小时的站中，两项峰值小时有重合和无重合的站分别有多少？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G04,C28,GIS空间关联查询,难,哪些地铁站从早高峰到晚高峰，本站出站量和500米内网约车下客量都增加？只比较六个小时都有观测的站，按网约车增量列出前10个。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G05,C29,GIS空间关联查询,中,所有地铁站500米网格并集内，出租车下客、网约车下客和共享单车锁车全天量分别是多少，各占对应网格总量的百分比是多少？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G06,C30,GIS空间关联查询,中,将有出租车或网约车下客观测的网格分成地铁站500米范围内和范围外，分别计算两项指标的早高峰量、全天量和早高峰占比。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G07,C31,GIS空间关联查询,难,对于同时位于至少两个地铁站500米内的网格，将其分配给最近站。按归属站汇总晚高峰共享单车锁车量和网约车下客量。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
G08,C32,GIS空间关联查询,难,将站名为“徐家汇”和“上海体育馆”的两个地铁站800米范围划分为只靠近徐家汇、只靠近上海体育馆、两站都覆盖三类，比较晚高峰三项网格指标。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G09,C33,GIS空间关联查询,难,每个地铁站500米内有哪些公交线路？给出线路早高峰客流和观测小时数，以及地铁站早高峰进站量和观测小时数。没有邻近公交线路的站也保留。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G10,C34,GIS空间关联查询,中,哪些公交线路在至少三个不同地铁站500米内？给出邻近站点数和线路全天客流。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G11,C35,GIS空间关联查询,中,哪些公交线路同时位于站名为“徐家汇”和“上海体育馆”的两个地铁站500米内？只保留早晚高峰六个小时都有记录的线路，并给出两个时段客流。,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
G12,C36,GIS空间关联查询,难,将每条公交线路分配给最近且距离不超过500米的地铁站。按地铁站汇总线路数和这些线路的全天客流，同时给出地铁站进站量。所有地铁站都保留。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G13,C37,GIS空间关联查询,难,先取早高峰出站量最大的10个地铁站，再合并其500米网格。三项网格指标在该范围的全天量及其占所有地铁站500米网格并集总量的百分比是多少？,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G14,C38,GIS空间关联查询,难,按地铁线路合并所属站点500米网格，计算晚高峰网约车下客量和共享单车锁车量，并分别给出线路排名。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G15,C39,GIS空间关联查询,难,对每个地铁站，分别以800米内共享单车锁车量和网约车下客量为权重计算平均距离。列出两项平均距离差最大的10个站。,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G16,C40,GIS空间关联查询,难,对每个地铁站，在500米范围内寻找共享单车锁车和出租车下客各自最高的连续三小时窗口。哪些站的两项最高窗口起点相同？并列峰值全部保留。,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
G17,C41,GIS空间关联查询,难,对每个地铁站，选择2公里内最近的3个其他站，给出本站早高峰进站量、已选邻站中三个小时观测完整的站数及邻站合计；只有所有已选邻站完整时才给出邻站合计。,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G18,C42,GIS空间关联查询,难,互为最近邻且距离不超过2公里的地铁站对中，晚高峰出站量差最大的10对是哪些？两站都必须有完整三小时观测。,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G19,C43,GIS空间关联查询,中,对每个地铁站，找出最近距离大于500米且不超过1000米的公交线路，并给出线路早高峰客流和观测小时数。没有符合线路的站也保留。,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G20,C44,GIS空间关联查询,难,哪些地铁站300米内没有公交线路，但300至800米内至少有3条？给出外围线路数、早高峰观测完整线路数、公交客流及本站出站量。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G21,C45,GIS空间关联查询,中,按800米内地铁站数量将网格分为0、1、2、3个及以上四类，计算各类网约车下客和共享单车锁车全天量及其占对应总量的百分比。,未通过,execution_error,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G22,C46,GIS空间关联查询,中,将全部地铁站的网格并集从500米扩大到800米。新增网格内出租车和网约车下客量分别是多少，相当于原500米范围总量的百分比是多少？,未通过,execution_error,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G23,C47,GIS空间关联查询,难,对于500米范围有共同网格的地铁站对，计算共同网格内早高峰共享单车锁车量和网约车下客量，按锁车量列出前10对。,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,通过,execution_result_equivalent,reused_legacy_execution_rescored
G24,C48,GIS空间关联查询,难,对每条地铁线路，比较各站500米锁车量分别统计后相加与线路网格并集去重后的结果。给出重复量及其占逐站相加量的百分比。,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored,未通过,required_column_values_mismatch,reused_legacy_execution_rescored
G25,C49,GIS空间关联查询,难,对每个地铁站，先取800米内最近的5条公交线路，再从中选择全天客流最高的一条，给出客流、距离和距离名次。,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored,未通过,row_count_mismatch,reused_legacy_execution_rescored
