task_id,legacy_task_id,scenario,scenario_zh,difficulty,analysis_dimension,uses_gis,change_type,question
G15,C39,spatial_gis,GIS空间关联查询,难,距离加权统计,True,沿用,对每个地铁站，分别以800米内共享单车锁车量和网约车下客量为权重计算平均距离。列出两项平均距离差最大的10个站。
G16,C40,spatial_gis,GIS空间关联查询,难,空间关联与滚动极值,True,沿用,对每个地铁站，在500米范围内寻找共享单车锁车和出租车下客各自最高的连续三小时窗口。哪些站的两项最高窗口起点相同？并列峰值全部保留。
G17,C41,spatial_gis,GIS空间关联查询,难,最近邻与业务汇总,True,沿用,对每个地铁站，选择2公里内最近的3个其他站，给出本站早高峰进站量、已选邻站中三个小时观测完整的站数及邻站合计；只有所有已选邻站完整时才给出邻站合计。
G18,C42,spatial_gis,GIS空间关联查询,难,双向邻近与时段差异,True,沿用,互为最近邻且距离不超过2公里的地铁站对中，晚高峰出站量差最大的10对是哪些？两站都必须有完整三小时观测。
G19,C43,spatial_gis,GIS空间关联查询,中,空间增量与线路客流,True,重分级,对每个地铁站，找出最近距离大于500米且不超过1000米的公交线路，并给出线路早高峰客流和观测小时数。没有符合线路的站也保留。
G20,C44,spatial_gis,GIS空间关联查询,难,空间反连接与双方式汇总,True,沿用,哪些地铁站300米内没有公交线路，但300至800米内至少有3条？给出外围线路数、早高峰观测完整线路数、公交客流及本站出站量。
G21,C45,spatial_gis,GIS空间关联查询,中,多重空间覆盖与业务构成,True,重分级,按800米内地铁站数量将网格分为0、1、2、3个及以上四类，计算各类网约车下客和共享单车锁车全天量及其占对应总量的百分比。
G22,C46,spatial_gis,GIS空间关联查询,中,缓冲范围差与业务增量,True,重分级,将全部地铁站的网格并集从500米扩大到800米。新增网格内出租车和网约车下客量分别是多少，相当于原500米范围总量的百分比是多少？
G23,C47,spatial_gis,GIS空间关联查询,难,缓冲区交集与多指标排名,True,沿用,对于500米范围有共同网格的地铁站对，计算共同网格内早高峰共享单车锁车量和网约车下客量，按锁车量列出前10对。
G24,C48,spatial_gis,GIS空间关联查询,难,线路拓扑与业务重复计量,True,沿用,对每条地铁线路，比较各站500米锁车量分别统计后相加与线路网格并集去重后的结果。给出重复量及其占逐站相加量的百分比。
G25,C49,spatial_gis,GIS空间关联查询,难,空间筛选后业务排名,True,沿用,对每个地铁站，先取800米内最近的5条公交线路，再从中选择全天客流最高的一条，给出客流、距离和距离名次。
G26,C50,spatial_gis,GIS空间关联查询,难,唯一空间归属与分环业务,True,沿用,将地铁站1公里内网格唯一分配给最近站，再分为0至300米、300至500米、500至1000米三环。给出每站每环晚高峰共享单车锁车量和网约车下客量。
G27,,spatial_gis,GIS空间关联查询,简,空间缓冲,True,新增,每个地铁站500米内有多少个网格？给出站点ID、站名和网格数，保留网格数为0的站。
G28,,spatial_gis,GIS空间关联查询,简,距离筛选,True,新增,站名为“徐家汇”的地铁站500米内有哪些网格？给出网格和距离。
G29,,spatial_gis,GIS空间关联查询,中,空间聚合,True,新增,每个地铁站800米内网约车下客量是多少？给出有下客观测的网格数，并保留没有下客观测的站。
G30,,spatial_gis,GIS空间关联查询,中,最近邻,True,新增,对1公里内至少有一个地铁站的公交线路，给出最近地铁站及距离；距离并列时按站点ID取一个。
