database_uid,db_id,source,scenario,scenario_zh,sqlite_file,sqlite_source_path,sqlite_size_bytes,sqlite_size_mb,copied_into_release,note
spider_data__ship_mission,ship_mission,spider_data,maritime_shipping_logistics,船运物流,ship_mission.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__ship_mission/ship_mission.sqlite,20480,0.02,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__train_station,train_station,spider_data,rail_train_station,铁路交通,train_station.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__train_station/train_station.sqlite,28672,0.027,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__vehicle_driver,vehicle_driver,spider_data,road_vehicle_business,道路车辆,vehicle_driver.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__vehicle_driver/vehicle_driver.sqlite,28672,0.027,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
spider_data__vehicle_rent,vehicle_rent,spider_data,road_vehicle_business,道路车辆,vehicle_rent.sqlite,Data/normalized_text2sql_tasks/database_layer/spider_data__vehicle_rent/vehicle_rent.sqlite,36864,0.035,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
train__airline,airline,train,aviation_airport,机场航空,airline.sqlite,Data/normalized_text2sql_tasks/database_layer/train__airline/airline.sqlite,122699776,117.016,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
train__bike_share_1,bike_share_1,train,bike_micromobility,共享单车,bike_share_1.sqlite,Data/normalized_text2sql_tasks/database_layer/train__bike_share_1/bike_share_1.sqlite,5209406464,4968.077,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
train__car_retails,car_retails,train,road_vehicle_business,道路车辆,car_retails.sqlite,Data/normalized_text2sql_tasks/database_layer/train__car_retails/car_retails.sqlite,487424,0.465,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
train__cars,cars,train,road_vehicle_business,道路车辆,cars.sqlite,Data/normalized_text2sql_tasks/database_layer/train__cars/cars.sqlite,135168,0.129,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
train__shipping,shipping,train,maritime_shipping_logistics,船运物流,shipping.sqlite,Data/normalized_text2sql_tasks/database_layer/train__shipping/shipping.sqlite,131072,0.125,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
train__trains,trains,train,rail_train_station,铁路交通,trains.sqlite,Data/normalized_text2sql_tasks/database_layer/train__trains/trains.sqlite,5070848,4.836,False,SQLite 文件未复制进 release 目录；如需完整可执行 benchmark，请按 manifest 从原目录复制或使用 Git LFS/压缩包发布。
