database_uid,db_id,source,scenario,scenario_zh,archive_path,archive_file,archive_size_bytes,archive_size_mb,sqlite_source_path,sqlite_size_bytes,sqlite_size_mb,compression_ratio,sha256,included_files,elapsed_seconds
spider_data__race_track,race_track,spider_data,racing_competition,赛车竞赛,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__race_track.7z,spider_data__race_track.7z,4172,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__race_track/race_track.sqlite,20480,0.02,0.2037,b1804d7b278368511141ad84677e8c9f2e8a95f63a9678d88b98b8797f39f406,race_track.sqlite;database.json;knowledge.md;knowledge_database.md,0.008
spider_data__railway,railway,spider_data,rail_train_station,铁路交通,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__railway.7z,spider_data__railway.7z,5460,0.005,Data/normalized_text2sql_tasks/database_layer/spider_data__railway/railway.sqlite,36864,0.035,0.1481,ef022d9511d5cc0f8c57eb295b09067fa7917f605a1531a7ec42b00aa9f1398a,railway.sqlite;database.json;knowledge.md;knowledge_database.md,0.009
spider_data__school_bus,school_bus,spider_data,public_service_transport,公共服务,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__school_bus.7z,spider_data__school_bus.7z,4693,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__school_bus/school_bus.sqlite,28672,0.027,0.1637,96a840316ee005c19c83eb7eb4c961e43e0b92a4c5d0fa6781b87bd0f98fb81c,school_bus.sqlite;database.json;knowledge.md;knowledge_database.md,0.008
spider_data__ship_1,ship_1,spider_data,maritime_shipping_logistics,船运物流,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__ship_1.7z,spider_data__ship_1.7z,4142,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__ship_1/ship_1.sqlite,20480,0.02,0.2022,efb140282ed61919a9fc8afcca0b3e833bceb707345fda8126f9179a250fe974,ship_1.sqlite;database.json;knowledge.md;knowledge_database.md,0.008
spider_data__ship_mission,ship_mission,spider_data,maritime_shipping_logistics,船运物流,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__ship_mission.7z,spider_data__ship_mission.7z,4079,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__ship_mission/ship_mission.sqlite,20480,0.02,0.1992,f3653553e53f626f3deec84ca0e9ccbc38456bfa5c53c0291f502c64006a1406,ship_mission.sqlite;database.json;knowledge.md;knowledge_database.md,0.009
spider_data__train_station,train_station,spider_data,rail_train_station,铁路交通,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__train_station.7z,spider_data__train_station.7z,5044,0.005,Data/normalized_text2sql_tasks/database_layer/spider_data__train_station/train_station.sqlite,28672,0.027,0.1759,eae2c8d8056616ba49e30b341d95f4b57880c0488e5e204d39c894614b114172,train_station.sqlite;database.json;knowledge.md;knowledge_database.md,0.009
spider_data__vehicle_driver,vehicle_driver,spider_data,road_vehicle_business,道路车辆,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__vehicle_driver.7z,spider_data__vehicle_driver.7z,4212,0.004,Data/normalized_text2sql_tasks/database_layer/spider_data__vehicle_driver/vehicle_driver.sqlite,28672,0.027,0.1469,5030bd0d23eb88e41186609a1d1f7bc16c750d228bced094a0cf89207903a311,vehicle_driver.sqlite;database.json;knowledge.md;knowledge_database.md,0.008
spider_data__vehicle_rent,vehicle_rent,spider_data,road_vehicle_business,道路车辆,Data/traffic_text2sql_benchmark_release/database_files/archives/spider_data__vehicle_rent.7z,spider_data__vehicle_rent.7z,5363,0.005,Data/normalized_text2sql_tasks/database_layer/spider_data__vehicle_rent/vehicle_rent.sqlite,36864,0.035,0.1455,a3b51d044a48b3c82226008471e4c4287166df8b706ccc66a99631d3d2138f08,vehicle_rent.sqlite;database.json;knowledge.md;knowledge_database.md,0.008
train__airline,airline,train,aviation_airport,机场航空,Data/traffic_text2sql_benchmark_release/database_files/archives/train__airline.7z,train__airline.7z,25763992,24.570,Data/normalized_text2sql_tasks/database_layer/train__airline/airline.sqlite,122699776,117.016,0.2100,72f2d2dc1f9ee6321c8b17af68d089c51943c907686dc7b385ba08232ce6c84c,airline.sqlite;database.json;knowledge.md;knowledge_database.md,9.148
train__bike_share_1,bike_share_1,train,bike_micromobility,共享单车,Data/traffic_text2sql_benchmark_release/database_files/archives/train__bike_share_1.7z,train__bike_share_1.7z,242311331,231.086,Data/normalized_text2sql_tasks/database_layer/train__bike_share_1/bike_share_1.sqlite,5209406464,4968.077,0.0465,7b28844c19628a2b8b4d827256fd11ee8d43c4b0c97b7cb9857c398df03297c7,bike_share_1.sqlite;database.json;knowledge.md;knowledge_database.md,227.776
train__car_retails,car_retails,train,road_vehicle_business,道路车辆,Data/traffic_text2sql_benchmark_release/database_files/archives/train__car_retails.7z,train__car_retails.7z,87472,0.083,Data/normalized_text2sql_tasks/database_layer/train__car_retails/car_retails.sqlite,487424,0.465,0.1795,aba13a59ae9451e40628a7186a66faa6e11a2f6de911f19cd69693825d00700d,car_retails.sqlite;database.json;knowledge.md;knowledge_database.md,0.037
train__cars,cars,train,road_vehicle_business,道路车辆,Data/traffic_text2sql_benchmark_release/database_files/archives/train__cars.7z,train__cars.7z,23320,0.022,Data/normalized_text2sql_tasks/database_layer/train__cars/cars.sqlite,135168,0.129,0.1725,054a9c0e2d8c77a9df9ba367f65c42c49105056bee807244ecd04474cbb15697,cars.sqlite;database.json;knowledge.md;knowledge_database.md,0.013
train__shipping,shipping,train,maritime_shipping_logistics,船运物流,Data/traffic_text2sql_benchmark_release/database_files/archives/train__shipping.7z,train__shipping.7z,34443,0.033,Data/normalized_text2sql_tasks/database_layer/train__shipping/shipping.sqlite,131072,0.125,0.2628,6d3f6c59ecc0e714daaf83913617d8ff2744e7e2ebf102309556aa04b85d055c,shipping.sqlite;database.json;knowledge.md;knowledge_database.md,0.016
train__trains,trains,train,rail_train_station,铁路交通,Data/traffic_text2sql_benchmark_release/database_files/archives/train__trains.7z,train__trains.7z,869226,0.829,Data/normalized_text2sql_tasks/database_layer/train__trains/trains.sqlite,5070848,4.836,0.1714,78bd34ccc4133c4127b779aac5dab3c7981565520d01f80a6b3424a93d67ddfc,trains.sqlite;database.json;knowledge.md;knowledge_database.md,0.453
