task_id,legacy_task_id,scenario,scenario_zh,difficulty,analysis_dimension,uses_gis,change_type,question,supplementary_notes,output_contract
S11,B03,single_mode,单方式查询,中,排名,False,修订,今天客流最大的10条公交线路是哪些？给出线路ID、线路名称和客流量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""bus_total"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S12,B04,single_mode,单方式查询,难,时段比较,False,修订,早晚高峰六个小时都有记录的公交线路中，晚高峰比早高峰增加最多的10条线路是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""morning_total"",""type"":""integer"",""nullable"":false},{""name"":""evening_total"",""type"":""integer"",""nullable"":false},{""name"":""increase"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S13,B05,single_mode,单方式查询,难,时间排名,False,修订,每条公交线路今天客流最高的小时是什么？并列峰值全部保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""peak_hour"",""type"":""integer"",""nullable"":false},{""name"":""peak_flow"",""type"":""integer"",""nullable"":false}]}"
S14,B06,single_mode,单方式查询,中,夜间分布,False,修订,0至5时有哪些公交线路出现正客流？给出夜间客流和正客流小时数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""night_total"",""type"":""integer"",""nullable"":false},{""name"":""positive_hours"",""type"":""integer"",""nullable"":false}]}"
S15,B07,single_mode,单方式查询,中,名称识别,False,修订,隧道夜宵线今天每小时的客流是多少？同名线路按线路ID分别展示。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""passenger_flow"",""type"":""integer"",""nullable"":false}]}"
S16,B08,single_mode,单方式查询,难,覆盖与均值,False,修订,哪些公交线路今天有记录的小时少于18个？按有记录小时的平均客流列出前10条，并给出观测小时数、全天客流和小时平均客流。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""bus_line_id"",""type"":""integer"",""nullable"":false},{""name"":""line_name"",""type"":""text"",""nullable"":false},{""name"":""observed_hours"",""type"":""integer"",""nullable"":false},{""name"":""daily_total"",""type"":""integer"",""nullable"":false},{""name"":""average_hourly_flow"",""type"":""number"",""nullable"":false,""decimal_places"":2}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S17,T01,single_mode,单方式查询,简,总量,False,修订,今天各网格的出租车上车量和下车完单量合计分别是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""pickup_total"",""type"":""integer"",""nullable"":false},{""name"":""dropoff_total"",""type"":""integer"",""nullable"":false}]}"
S18,T02,single_mode,单方式查询,简,时间,False,修订,今天出租车上车量和下车完单量如何随小时变化？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""pickup_total"",""type"":""integer"",""nullable"":false},{""name"":""dropoff_total"",""type"":""integer"",""nullable"":false}]}"
S19,T03,single_mode,单方式查询,中,空间排名,False,修订,今天出租车上车量最大的10个网格是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""pickup_total"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S20,T04,single_mode,单方式查询,中,空间排名,False,修订,今天出租车下车完单量最大的10个网格是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""dropoff_total"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S21,T05,single_mode,单方式查询,难,空间差异,False,修订,同时有出租车上车和下车完单观测的网格小时中，下车量减上车量最大的10个是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""taxi_pickups"",""type"":""integer"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""difference"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S22,T06,single_mode,单方式查询,中,时空比较,False,修订,早晚高峰都有出租车下车完单观测的网格中，哪些网格晚高峰高于早高峰？给出两段总量和观测小时数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""morning_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""evening_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""morning_hours"",""type"":""integer"",""nullable"":false},{""name"":""evening_hours"",""type"":""integer"",""nullable"":false}]}"
S23,T07,single_mode,单方式查询,中,集中度,False,修订,出租车上车量最高的10个网格合计有多少上车量，占全部网格上车量的百分比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""top10_pickups"",""type"":""integer"",""nullable"":false},{""name"":""all_pickups"",""type"":""integer"",""nullable"":false},{""name"":""top10_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S24,T08,single_mode,单方式查询,难,组内排名,False,修订,每个小时出租车下车完单量最大的3个网格是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""dropoff_total"",""type"":""integer"",""nullable"":false},{""name"":""rank_in_hour"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S25,R02,single_mode,单方式查询,中,日内构成,False,修订,按小时给出网约车下单量、下车完单量及其各自占全天总量的百分比。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""orders"",""type"":""integer"",""nullable"":false},{""name"":""dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""order_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2},{""name"":""dropoff_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
S26,R03,single_mode,单方式查询,中,空间排名,False,修订,今天网约车下单量最大的10个网格是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""order_total"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S27,R04,single_mode,单方式查询,中,时段构成,False,修订,网约车早高峰和晚高峰下单量分别是多少，各占全天下单量的百分比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""morning_orders"",""type"":""integer"",""nullable"":false},{""name"":""evening_orders"",""type"":""integer"",""nullable"":false},{""name"":""daily_orders"",""type"":""integer"",""nullable"":false},{""name"":""morning_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2},{""name"":""evening_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
S28,R05,single_mode,单方式查询,中,阈值覆盖,False,修订,今天有多少个网格曾在某个小时达到至少100单网约车下单量？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""qualifying_grids"",""type"":""integer"",""nullable"":false}]}"
S29,R06,single_mode,单方式查询,难,配对条件,False,修订,哪些网格小时出现网约车下单量大于0、下车完单量等于0？给出符合条件的网格小时总数，并列出下单量最大的10个。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_orders"",""type"":""integer"",""nullable"":false},{""name"":""qualifying_grid_hours"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S30,R07,single_mode,单方式查询,中,时段集中,False,修订,全天网约车下单量至少100的网格中，晚高峰下单占比最高的10个是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""daily_orders"",""type"":""integer"",""nullable"":false},{""name"":""evening_orders"",""type"":""integer"",""nullable"":false},{""name"":""evening_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S31,R08,single_mode,单方式查询,难,相邻变化,False,修订,网约车下单量相邻小时增量最大的10个网格小时是什么？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""previous_hour"",""type"":""integer"",""nullable"":false},{""name"":""current_hour"",""type"":""integer"",""nullable"":false},{""name"":""previous_orders"",""type"":""integer"",""nullable"":false},{""name"":""current_orders"",""type"":""integer"",""nullable"":false},{""name"":""increase"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S32,R10,single_mode,单方式查询,难,指标差异,False,修订,同时有网约车下单和下车完单观测的网格小时中，下单量减下车量最大的10个是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_orders"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""difference"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S33,K01,single_mode,单方式查询,简,总量,False,修订,今天各网格的共享单车锁车量合计是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""lock_total"",""type"":""integer"",""nullable"":false}]}"
S34,K02,single_mode,单方式查询,简,时间,False,修订,今天共享单车锁车量如何随小时变化？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""lock_total"",""type"":""integer"",""nullable"":false}]}"
S35,K03,single_mode,单方式查询,中,时间排名,False,修订,今天共享单车锁车量最高的小时是什么？并列峰值全部保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""lock_total"",""type"":""integer"",""nullable"":false}]}"
S36,K04,single_mode,单方式查询,中,空间排名,False,修订,今天共享单车锁车量最大的10个网格是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""lock_total"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S37,K05,single_mode,单方式查询,中,集中度,False,修订,共享单车锁车量最高的10个网格合计有多少锁车量，占全部网格锁车量的百分比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""top10_locks"",""type"":""integer"",""nullable"":false},{""name"":""all_locks"",""type"":""integer"",""nullable"":false},{""name"":""top10_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
S38,K06,single_mode,单方式查询,难,连续变化,False,修订,哪些网格在7、8、9时都有共享单车锁车观测，而且锁车量逐小时增加？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""locks_7"",""type"":""integer"",""nullable"":false},{""name"":""locks_8"",""type"":""integer"",""nullable"":false},{""name"":""locks_9"",""type"":""integer"",""nullable"":false}]}"
S39,K07,single_mode,单方式查询,中,时段构成,False,修订,共享单车早高峰锁车量是多少，占全天锁车量的百分比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""morning_locks"",""type"":""integer"",""nullable"":false},{""name"":""daily_locks"",""type"":""integer"",""nullable"":false},{""name"":""morning_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
S40,K08,single_mode,单方式查询,难,时段比较,False,修订,早晚高峰都有共享单车观测的网格中，晚高峰锁车量高于早高峰且增量最大的10个是哪些？给出两个时段的观测小时数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""morning_locks"",""type"":""integer"",""nullable"":false},{""name"":""evening_locks"",""type"":""integer"",""nullable"":false},{""name"":""increase"",""type"":""integer"",""nullable"":false},{""name"":""morning_hours"",""type"":""integer"",""nullable"":false},{""name"":""evening_hours"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X01,C01,cross_modal,多方式联合查询,中,累计变化,False,修订,在地铁进站和公交客流量都有观测的小时中，给出两项小时值及截至该小时的累计值。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""metro_entries"",""type"":""integer"",""nullable"":false},{""name"":""bus_flow"",""type"":""integer"",""nullable"":false},{""name"":""cumulative_metro_entries"",""type"":""integer"",""nullable"":false},{""name"":""cumulative_bus_flow"",""type"":""integer"",""nullable"":false}]}"
X02,C02,cross_modal,多方式联合查询,难,滚动窗口,False,修订,公交客流量和网约车下单量各自最高的连续三小时窗口是什么？只使用两项都有观测的连续窗口，并列峰值全部保留。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""metric"",""type"":""text"",""nullable"":false,""allowed_values"":[""公交客流量"",""网约车下单量""]},{""name"":""start_hour"",""type"":""integer"",""nullable"":false},{""name"":""end_hour"",""type"":""integer"",""nullable"":false},{""name"":""window_total"",""type"":""integer"",""nullable"":false}]}"
X03,C03,cross_modal,多方式联合查询,中,峰值交集,False,修订,五项代表指标分别达到小时峰值时，哪些交通方式对具有共同峰值小时？给出方式对和小时。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""metric_a"",""type"":""text"",""nullable"":false,""allowed_values"":[""地铁进站量"",""公交客流量"",""出租车上车量"",""网约车下单量"",""共享单车锁车量""]},{""name"":""metric_b"",""type"":""text"",""nullable"":false,""allowed_values"":[""地铁进站量"",""公交客流量"",""出租车上车量"",""网约车下单量"",""共享单车锁车量""]},{""name"":""common_peak_hour"",""type"":""integer"",""nullable"":false}],""notes"":[""metric_a与metric_b按指标名称升序排列。""]}"
X04,C04,cross_modal,多方式联合查询,难,排名差异,False,修订,在地铁进站和公交客流量都有观测的小时中，分别按小时量排名；并列值使用相同名次，后续名次不跳号。找出两项名次差最大的全部小时。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""metro_entries"",""type"":""integer"",""nullable"":false},{""name"":""bus_flow"",""type"":""integer"",""nullable"":false},{""name"":""metro_rank"",""type"":""integer"",""nullable"":false},{""name"":""bus_rank"",""type"":""integer"",""nullable"":false},{""name"":""rank_difference"",""type"":""integer"",""nullable"":false}]}"
X05,C05,cross_modal,多方式联合查询,难,累计分位,False,修订,在五项代表指标都有观测的共同小时中，各指标累计量首次达到本指标总量50%的小时是什么？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""metric"",""type"":""text"",""nullable"":false,""allowed_values"":[""地铁进站量"",""公交客流量"",""出租车上车量"",""网约车下单量"",""共享单车锁车量""]},{""name"":""half_total_hour"",""type"":""integer"",""nullable"":false}]}"
X06,C06,cross_modal,多方式联合查询,难,分布差异,False,修订,在地铁进站和网约车下单都有观测的小时中，哪几个小时的两项小时占比差最大？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""百分比字段使用0至100的数值口径。""]","{""columns"":[{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""metro_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2},{""name"":""ridehail_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2},{""name"":""difference_pct"",""type"":""number"",""nullable"":false,""decimal_places"":2}]}"
X07,C07,cross_modal,多方式联合查询,中,同步变化,False,修订,哪些相邻小时中，地铁进站量和公交客流量同时增加？给出两项增量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""previous_hour"",""type"":""integer"",""nullable"":false},{""name"":""current_hour"",""type"":""integer"",""nullable"":false},{""name"":""metro_increase"",""type"":""integer"",""nullable"":false},{""name"":""bus_increase"",""type"":""integer"",""nullable"":false}]}"
X08,C08,cross_modal,多方式联合查询,中,反向变化,False,修订,哪些相邻小时中，网约车下单量增加而共享单车锁车量减少？给出两项变化量。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""previous_hour"",""type"":""integer"",""nullable"":false},{""name"":""current_hour"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_change"",""type"":""integer"",""nullable"":false},{""name"":""bike_change"",""type"":""integer"",""nullable"":false}]}"
X09,C09,cross_modal,多方式联合查询,中,覆盖组合,False,修订,按全天是否存在出租车下客、网约车下客和共享单车锁车观测，将网格分为覆盖1、2、3项指标，分别统计网格数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""observed_metric_count"",""type"":""integer"",""nullable"":false},{""name"":""grid_count"",""type"":""integer"",""nullable"":false}]}"
X10,C10,cross_modal,多方式联合查询,难,覆盖相似,False,修订,8时出租车下客、网约车下客和共享单车锁车三项指标的覆盖集合，两两交集数、并集数和交并比是多少？,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""交并比按交集数除以并集数计算。""]","{""columns"":[{""name"":""metric_a"",""type"":""text"",""nullable"":false,""allowed_values"":[""出租车下客"",""网约车下客"",""共享单车锁车""]},{""name"":""metric_b"",""type"":""text"",""nullable"":false,""allowed_values"":[""出租车下客"",""网约车下客"",""共享单车锁车""]},{""name"":""intersection_count"",""type"":""integer"",""nullable"":false},{""name"":""union_count"",""type"":""integer"",""nullable"":false},{""name"":""jaccard"",""type"":""number"",""nullable"":false,""minimum_decimal_places"":6}],""notes"":[""metric_a与metric_b按题目列举的指标顺序排列：出租车下客、网约车下客、共享单车锁车；每组中metric_a必须位于metric_b之前。""]}"
X11,C11,cross_modal,多方式联合查询,中,跨粒度关联,False,修订,同时有共享单车锁车和网约车下客观测的网格小时中，锁车量最高的20个是哪些？,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""hour"",""type"":""integer"",""nullable"":false},{""name"":""bike_locks"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
X12,C12,cross_modal,多方式联合查询,难,多尺度覆盖,False,修订,按GeoHash前5位分区，统计出租车下客、网约车下客、共享单车锁车各自覆盖的细网格数，以及三项都覆盖的细网格数。,"[""“今天”指2026-08-24，时间按上海本地时间解释。""]","{""columns"":[{""name"":""area5"",""type"":""text"",""nullable"":false},{""name"":""taxi_grids"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_grids"",""type"":""integer"",""nullable"":false},{""name"":""bike_grids"",""type"":""integer"",""nullable"":false},{""name"":""all_three_grids"",""type"":""integer"",""nullable"":false}]}"
X13,C13,cross_modal,多方式联合查询,难,热点交集,False,修订,哪些网格同时进入出租车下客和网约车下客全天前100名？给出两项量值和名次。,"[""“今天”指2026-08-24，时间按上海本地时间解释。"",""出租车下客和网约车下客分别按全天量降序、geohash升序固定取前100个候选网格；最终只返回两个候选集合的交集，最终行数不固定。""]","{""columns"":[{""name"":""geohash"",""type"":""text"",""nullable"":false},{""name"":""taxi_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_dropoffs"",""type"":""integer"",""nullable"":false},{""name"":""taxi_rank"",""type"":""integer"",""nullable"":false},{""name"":""ridehail_rank"",""type"":""integer"",""nullable"":false}],""row_selection"":{""mode"":""fixed_top_k"",""tie_break"":""题目中的每个Top-K候选集合固定取K项；边界同值时按指定的消歧字段升序取满K项，不扩展并列。""}}"
